0.529177	119279.503882278
0.793766	60102.588469668
1.058354	32500.740852624
1.322943	17224.354064626
1.587532	8836.953442274
1.85212	4379.52034389
2.116709	2090.412134073
2.381297	955.888939085
2.645886	414.532736435
2.910475	166.80879643
3.175063	58.908781037
3.439652	14.894161312
3.70424	-1.258995084
3.968829	-5.971937556
4.233418	-6.383076659
4.498006	-5.441435489
4.762595	-4.268331216
5.027184	-3.23543106
5.291772	-2.423257657
5.556361	-1.81381183
5.820949	-1.365095498
6.085538	-1.036057906
6.350127	-0.794174226
6.614715	-0.615129778
6.879304	-0.481241161
7.143892	-0.380193148
7.408481	-0.303144038
7.67307	-0.243778331
7.937658	-0.1973594
8.202247	-0.16104527
8.466835	-0.132625517
8.731424	-0.109573939
8.996013	-0.091258987
9.260601	-0.07641756
9.52519	-0.064102333
9.789778	-0.054313307
10.054367	-0.046103156
10.318956	-0.03947188
10.583544	-0.033787929
